Ticker,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
WIPRO,5-Oct-20,313.05,315.2,336,315.2,335,333.95
WIPRO,6-Oct-20,333.95,335,335.3,323,329.55,330.05
WIPRO,7-Oct-20,330.05,327,336.55,325.5,336,335.3
WIPRO,8-Oct-20,335.3,351,367.75,346.45,359.9,359.45
WIPRO,9-Oct-20,359.45,362,376.1,357.25,375.25,374
WIPRO,12-Oct-20,374,377,379.8,369.1,379.5,377.5
WIPRO,13-Oct-20,377.5,377.3,381.7,372.95,375.2,375.95
WIPRO,14-Oct-20,375.95,365,365,348.3,349.4,350.45
WIPRO,15-Oct-20,350.45,351,354.25,338.95,341.5,341.6
WIPRO,16-Oct-20,341.6,342.9,348.1,338.6,339.1,339.65
WIPRO,19-Oct-20,339.65,342.45,346.5,338.65,343.6,343.2
WIPRO,20-Oct-20,343.2,344.75,349.5,341.85,347,346.75
WIPRO,21-Oct-20,346.75,349.6,350.1,339.1,343.3,343.45
WIPRO,22-Oct-20,343.45,341,348.2,340.85,344,344.45
WIPRO,23-Oct-20,344.45,346.9,347.1,341.3,342.45,342.4
